Num	ObsID						Target Name					My RA\ t			CSC RA				My DEC			CSC DEC	Instrument
  67	  15353	      SDSS J141141.96+140233.9	  213.132150	  212.925000	   13.304739	  212.925000	  ACIS-S
  67	  22914	                  PKS 1413+135	  213.132150	  213.995000	   13.304739	  213.995000	  ACIS-S
  67	  22917	                  PKS 1413+135	  213.132150	  213.995000	   13.304739	  213.995000	  ACIS-S
  67	  22918	                  PKS 1413+135	  213.132150	  213.995000	   13.304739	  213.995000	  ACIS-S
  68	  14932	                      NGC 5373	  209.603290	  209.281250	    6.071280	  209.281250	  ACIS-S
  69	  21522	           J160627.53+135547.7	  241.055940	  241.614583	   13.744020	  241.614583	  ACIS-I
  70	   5591	                PSR J1537+1155	  234.624880	  234.291500	   12.186610	  234.291500	  ACIS-S
  70	  10124	                PSR J1537+1155	  234.624880	  234.291667	   12.186610	  234.291667	  ACIS-S
  72	  19558	       SDSSJ155837.77+081345.8	  240.333250	  239.657500	    8.835940	  239.657500	  ACIS-S
  74	  19439	      SDSS J154543.55+085801.3	  237.135830	  236.431667	    8.587930	  236.431667	  ACIS-S
  74	  23766	                SDSSJ1550+0806	  237.135830	  237.740417	    8.587930	  237.740417	  ACIS-S
  76	  18149	                    Teacup AGN	  217.635620	  217.624583	   14.024417	  217.624583	  ACIS-S
  76	  22589	      SDSS J143029.88+133912.0	  217.635620	  217.624458	   14.024417	  217.624458	  ACIS-S
  76	  22972	      SDSS J143029.88+133912.0	  217.635620	  217.624458	   14.024417	  217.624458	  ACIS-S
  76	  22973	      SDSS J143029.88+133912.0	  217.635620	  217.624458	   14.024417	  217.624458	  ACIS-S
  76	  23088	      SDSS J143029.88+133912.0	  217.635620	  217.624458	   14.024417	  217.624458	  ACIS-S
  76	  23243	      SDSS J143029.88+133912.0	  217.635620	  217.624458	   14.024417	  217.624458	  ACIS-S
  82	   5704	      SDSS J143752.76+042854.5	  219.796170	  219.470000	    5.363480	  219.470000	  ACIS-S
  82	  12860	      SDSS J144105.53+045454.9	  219.796170	  220.272917	    5.363480	  220.272917	  ACIS-S
  84	   6882	      SDSS J100711.81+053208.9	  151.224610	  151.799167	    5.062640	  151.799167	  ACIS-S
  84	  11852	                   PG 1001+054	  151.224610	  151.083750	    5.062640	  151.083750	  ACIS-S
  84	  17840	      SDSS J100548.09+054204.4	  151.224610	  151.450417	    5.062640	  151.450417	  ACIS-S
  84	  23168	                   PG 1001+054	  151.224610	  151.072586	    5.062640	  151.072586	  ACIS-S
  85	   2134	                 QSO B0802+103	  120.856370	  121.199583	   10.050530	  121.199583	  ACIS-S
  85	   5626	                        3C 191	  120.856370	  121.199583	   10.050530	  121.199583	  ACIS-S
  85	  19318	                       NGC2513	  120.856370	  120.602917	   10.050530	  120.602917	  ACIS-S
  85	  22089	                       UGC4211	  120.856370	  121.193275	   10.050530	  121.193275	  ACIS-S
  86	   4875	                      Mrk 1210	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  86	   9264	                      UGC 4203	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  86	   9265	                      UGC 4203	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  86	   9266	                      UGC 4203	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  86	   9267	                      UGC 4203	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  86	   9268	                      UGC 4203	  121.024390	  121.024167	    5.113840	  121.024167	  ACIS-S
  87	  14932	                      NGC 5373	  209.558320	  209.281250	    5.408280	  209.281250	  ACIS-S
  88	   5519	                  PSR B1133+16	  173.588530	  174.013125	   15.660405	  174.013125	  ACIS-S
  89	   2934	                       NGC3377	  162.823930	  161.924167	   13.945990	  161.924167	  ACIS-S
  89	   4693	                      NGC 3412	  162.823930	  162.720833	   13.945990	  162.720833	  ACIS-S
  92	  18223	                       CSWA 11	  120.984920	  120.054583	    8.699640	  120.054583	  ACIS-S
  92	  19318	                       NGC2513	  120.984920	  120.602917	    8.699640	  120.602917	  ACIS-S
  93	  15329	                       NGC2940	  144.532870	  144.521667	    9.523920	  144.521667	  ACIS-S
  94	   5629	       2MASS J11135466+1244390	  168.485420	  168.477917	   12.301060	  168.477917	  ACIS-S
  94	   7084	                      NGC 3593	  168.485420	  168.654167	   12.301060	  168.654167	  ACIS-S
  95	   9250	                       3CR 208	  133.980840	  133.285833	   13.229690	  133.285833	  ACIS-S
  95	  19328	        GALEX J085642.1+123157	  133.980840	  134.175000	   13.229690	  134.175000	  ACIS-S
  97	   9247	                       3CR 190	  120.156320	  120.389583	   13.697350	  120.389583	  ACIS-S
