Best_Mag	Petro_Mag_g	Difference	My_RA	CSC_RA	My_DEC	CSC_DEC
18	17	0	114	157	15	5
18	17	0	114	170	15	13
18	17	0	114	172	15	8
18	17	0	114	153	15	5
18	17	0	114	162	15	7
18	17	0	114	176	15	4
18	17	0	114	125	15	13
18	17	0	114	125	15	13
18	17	0	114	126	15	9
18	17	0	114	134	15	15
18	17	0	114	137	15	5
18	17	0	114	151	15	14
18	17	0	114	155	15	12
18	17	0	114	158	15	11
18	17	0	114	166	15	12
18	17	0	114	177	15	10
18	17	0	114	178	15	12
18	17	0	114	143	15	13
18	17	0	114	148	15	15
18	17	0	114	153	15	15
18	17	0	114	154	15	15
18	17	0	114	166	15	15
18	17	0	114	168	15	11
18	17	0	114	168	15	11
18	17	0	114	129	15	14
18	17	0	114	139	15	10
18	17	0	114	139	15	12
18	17	0	114	144	15	14
18	17	0	114	144	15	8
18	17	0	114	146	15	15
18	17	0	114	146	15	13
18	17	0	114	147	15	15
18	17	0	114	161	15	5
18	17	0	114	176	15	12
18	17	0	114	128	15	4
18	17	0	114	147	15	8
18	17	0	114	152	15	15
18	17	0	114	136	15	11
18	17	0	114	145	15	11
18	17	0	114	164	15	15
18	17	0	114	172	15	4
18	17	0	114	176	15	10
18	17	0	114	176	15	13
18	17	0	114	137	15	13
18	17	0	114	148	15	11
18	17	0	114	167	15	9
18	17	0	114	176	15	13
18	17	0	114	142	15	4
18	17	0	114	144	15	9
18	17	0	114	146	15	11
18	17	0	114	150	15	7
18	17	0	114	155	15	12
18	17	0	114	163	15	13
18	17	0	114	167	15	15
18	17	0	114	168	15	4
18	17	0	114	146	15	14
18	17	0	114	163	15	14
18	17	0	114	176	15	15
18	17	0	114	176	15	15
18	17	0	114	204	15	8
18	17	0	114	131	15	15
18	17	0	114	134	15	15
18	17	0	114	134	15	8
18	17	0	114	140	15	14
18	17	0	114	143	15	14
18	17	0	114	137	15	12
18	17	0	114	144	15	15
18	17	0	114	130	15	13
18	17	0	114	141	15	4
18	17	0	114	142	15	7
18	17	0	114	146	15	14
18	17	0	114	148	15	13
18	17	0	114	147	15	5
18	17	0	114	155	15	7
18	17	0	114	147	15	11
18	17	0	114	148	15	7
18	17	0	114	148	15	15
18	17	0	114	152	15	15
18	17	0	114	144	15	8
18	17	0	114	155	15	8
18	17	0	114	168	15	14
18	17	0	114	171	15	15
18	17	0	114	174	15	13
18	17	0	114	175	15	13
18	17	0	114	174	15	9
18	17	0	114	168	15	5
18	17	0	114	169	15	10
18	17	0	114	171	15	7
18	17	0	114	175	15	14
18	17	0	114	176	15	12
18	17	0	114	176	15	13
